Description,Category,Cost,Whole Sale Price,Price,Available Qty,Alt Price 1,Alt Price 2
THROTTLE CABLE PCX 150,PANTRA,,65,150,9,,
THROTTLE CABLE SNIPER 150,PANTRA,,65,150,3,,
THROTTLE CABLE RFI/CARB 150,PANTRA,,65,150,2,,
THROTTLE CABLE NMAX,PANTRA,,65,150,4,,
THROTTLE CABLE M3,PANTRA,,65,150,4,,
THROTTLE CABLE SPORTY,PANTRA,,65,150,9,,
THROTTLE CABLE HONDA RS,PANTRA,,280,450,2,,
THROTTLE CABLE WAVE 100,PANTRA,,65,150,13,,
THROTTLE CABLE XRM 125,PANTRA,,65,150,9,,
THROTTLE CABLE XRM 110,PANTRA,,65,150,11,,
THROTTLE CABLE WAVE 125,PANTRA,,,150,9,,
THROTTLE CABLE TMX 125,PANTRA,,,150,16,,
 THROTTLE CABLE TMX 155,PANTRA,,,150,13,,
THROTTLE CABLE BARAKO,PANTRA,,,150,18,,
THROTTLE CABLE CLICK 125,PANTRA,,,150,2,,
CLUTCH CABLE RAIDER CARB,PANTRA,,,,,,
CLUTCH CABLE RAIDER CARB,PANTRA,,,150,2,,
CLUTCH CABLE TMX 155,PANTRA,,,150,6,,
CLUTCH CABLE BARAKO,PANTRA,,,150,8,,
CLUTCH CABLE TMX 125,PANTRA,,,150,23,,
CLUTCH CABLE  ROUSER135,PANTRA,,,150,1,,
SPEED CABLE CT100,PANTRA,,,150,2,,
SPEED CABLE  M3,PANTRA,,,150,3,,
SPEED CABLE  BARAKO 175,PANTRA,,,150,2,,
SPEED CABLE  RUSI 125,PANTRA,,,150,1,,
BRAKE CABLE CLICK 125,PANTRA,,,150,1,,
BRAKE CABLE  BEAT,PANTRA,,,150,5,,
BRAKE CABLE  M3,PANTRA,,,150,3,,
BRAKE CABLE  SKYDRIVE 125,PANTRA,,,150,5,,
BRAKE CABLE  TMX SUPREMO,PANTRA,,,150,9,,
BRAKE CABLE  TMX 155,PANTRA,,,150,11,,
BRAKE CABLE  TMX 125,PANTRA,,,150,6,,
BRAKE CABLE  BARAKO,PANTRA,,,150,11,,
FLASHER ASSY UNIVERSAL,PANTRA,,85,250,13,,
FLASHER ASSY  TMX ALPHA,PANTRA,,85,250,5,,
 HEADLIGHT SOCKET TMX ALPHA,PANTRA,,,150,16,,
BRAKE SWITCH FRONT TMX,PANTRA,,30,80,20,,
SIGNAL AND PARKLIGHT BULB,PANTRA,,8,25,13,,
TMX ALPHA REGULATOR,PANTRA,,250,550,12,,
REGULATOR MIO SPORTY,PANTRA,,250,550,10,,
REGULATOR TMX 155,PANTRA,,250,550,1,,
REGULATOR XRM 110,PANTRA,,,,5,,
XRM 110 XRM 110,PANTRA,,250,550,1,,
REGULATOR SNIPER 155,PANTRA,,250,550,1,,
REGULATOR MIO M3,PANTRA,,250,550,2,,
REGULATOR NMAX,PANTRA,,480,750,2,,
BENDIX ASSY MIO,PANTRA,,320,550,5,,
STARTER RELAY MIO SPORTY,PANTRA,,220,550,4,,
LEFT AND RIGHT  SWITCH ASSY,PANTRA,,550,850,2,,
TOP HEAD GASKET RUBBER,PANTRA,,70,150,13,,
HORN HARNESS ASSY,PANTRA,,80,180,7,,
DOMINO SWITCH,PANTRA,,80,180,10,,
UNIVERSAL CARBORATOR MANIFOLD,PANTRA,,110,250,10,,
RAM AIR NMAX V2,PANTRA,,250,750,13,,
RAM AIR  PCX,PANTRA,,250,750,5,,
RAM AIR  AEROX V1,PANTRA,,250,750,4,,
RAM AIR  CLICK 160,PANTRA,,250,750,1,,
LDX HANDLE GRIP,PANTRA,,110,250,5,,
TRC BRAKE LINE 210 CM,PANTRA,,,,6,,
TRC BRAKE LINE 170 CM,PANTRA,,,,,,
EARL HOSE 36/90,PANTRA,,219,380,3,,
EARL HOSE  22/55,PANTRA,,219,380,3,,
JRP BRAKE KIT  26/90,PANTRA,,1550,2200,2,,
OVERHAULING GASKET TMX 155,PANTRA,,80,180,13,,
OVERHAULING GASKET  SUPREMO,PANTRA,,80,180,2,,
OVERHAULING GASKET  BARAKO,PANTRA,,80,180,4,,
OVERHAULING GASKET  TMX 125,PANTRA,,80,180,5,,
OVERHAULING GASKET  BAJAJ CT100,PANTRA,,80,180,3,,
OIL SEAL HEAD GASKET WAVE 125,PANTRA,,180,350,5,,
TOP OVERHAULING GASKET BARAKO 175,PANTRA,,180,180,10,,
TOP OVERHAULING GASKET  CG 125,PANTRA,,80,150,2,,
TOP OVERHAULING GASKET TMX 155,PANTRA,,80,180,3,,
 CYLINDER PACKING GY6,PANTRA,,80,180,5,,
 CYLINDER PACKING RAIDER CARB,PANTRA,,80,180,4,,
BALL RACE CT 100,PANTRA,,250,450,5,,
BALL RACE Wave 100,PANTRA,,250,450,2,,
BALL RACE XRM,PANTRA,,250,450,3,,
BALL RACE MIO SPORTY,PANTRA,,250,450,4,,
BALL RACE TMX,PANTRA,,250,450,1,,
BALL RACE BARAKO,PANTRA,,250,450,2,,
EXHAUST GASKET,PANTRA,,250,150,38,,
XRM 110 OVERHAULING GASKET,PANTRA,,80,180,10,,
WAVE 110 OVERHAULING GASKET,PANTRA,,80,150,10,,
OVERHAULING GASKET TMX 155,PANTRA,,80,150,10,,
OVERHAULING GASKET CT 100,PANTRA,,,,5,,
MISHIBA SPROCKET SET,PANTRA,,210,380,5,,
CK SPROCKET SET SET XR 150,PANTRA,,950,1500,2,,
TIGER SPROCKET SET XRM 125 FI,PANTRA,,870,1250,4,,
OKM RACING GOLD SPROCKET SET WAVE 100 XRM 125,PANTRA,,870,1150,7,,
LAZX SPROCKET BARAKO SET,PANTRA,,870,1250,5,,
LAZX SPROCKET SET SMASH 110,PANTRA,,870,1150,3,,
MISHIBA CHAIN SET WAVE 125,PANTRA,,910,1250,9,,
MISHIBA CHAIN SET  TMX,PANTRA,,910,1150,1,,
GOLD CHAIN SET TMX,PANTRA,,910,1150,1,,
OSAKI CHAINSET RAIDER 150,PANTRA,,910,1450,1,,
MUTARRU GOLD CHAIN  RAIDER 150,PANTRA,,1150,1850,5,,
MUTARRU GOLD CHAIN SNIPER 150,PANTRA,,1150,1850,4,,
JONTHAI GOLD CHAIN SNIPER 150,PANTRA,,1150,1550,8,,
PERFECT POWER R15 CHAINSET,PANTRA,,1650,1900,2,,
PERFECT POWER MT15 CHAINSET,PANTRA,,1650,1900,2,,
PERFECT POWER M 15 CHAINSET,PANTRA,,1650,1900,2,,
MITSO TMX SUPREMO  CHAINSET,PANTRA,,850,1250,5,,
RK-M CHAIN,PANTRA,,380,550,3,,
MITSU 120L 428,PANTRA,,,,3,,
MAKOTO 130L 428,PANTRA,,,,1,,
MISHIBA 110L 428,PANTRA,,180,380,11,,
"MAKOTO BRAKE SHOE HD3, HDX, WIND 125",PANTRA,,,,8,,
YAMAKOTO BRAKE SHOE TMX FRONT,PANTRA,,,,25,,
"MISHIBA BRAKE SHOE RS100, HD3",PANTRA,,,,3,,
SUNBEN BRAKE SHOE TMX FRONT,PANTRA,,,,10,,
RZ BRAKE SHOE RS,PANTRA,,,,3,,
MTR BRAKE SHOE SKYDRIVE,PANTRA,,,,5,,
MEHOL BRAKE SHOE CB 125,PANTRA,,,,6,,
"OTAKA BRAKE SHOE TMX 125, CB110, XR150",PANTRA,,,,8,,
"MAKOTO BRAKE SHOE BEAT 110, SUPREMO, CLICK 160",PANTRA,,,,10,,
SPEED POWER BRAKE SHOE TMX 155 REAR,PANTRA,,,,2,,
"MK BRAKE SHOE C100, WAVE 100, WAVE 110",PANTRA,,,,3,,
YAMAKOTO BRAKE SHOE TMX FRONT,PANTRA,,,,1,,
PMK BRAKE SHOE TMX 155 REAR,PANTRA,,,,6,,
GRS BRAKE SHOE BARAKO,PANTRA,,,,1,,
YAMAHA M3 BRAKE,PANTRA,,,,5,,
"HONDA BRAKE SHOE GENUINE CLICK, BEAT",PANTRA,,,,5,,
VGT DISC PAD PCX/ADV REAR,PANTRA,,,,30,,
VGT DISK PAD ADV FRONT,PANTRA,,,,30,,
VGT DISK PAD SNIPER FRONT,PANTRA,,,,29,,
VGT DISC PAD RAIDER 150 REAR,PANTRA,,,,45,,
VGT DISC PAD RAIDER 150 FRONT,PANTRA,,,,13,,
VGT DISC PAD WAVE 125 FRONT,PANTRA,,,,45,,
VGT DISC PAD R150i REAR,PANTRA,,,,8,,
VGT DISC PAD XRM TRINITY,PANTRA,,,,18,,
VGT DISC PAD BEAT FRONT,PANTRA,,,,42,,
TTGR BRAKE SHOE SKYDRIVE,PANTRA,,,,1,,
YAMAHA DISC PAD GENUINE XMAX,PANTRA,,,,4,,
RS8 FORCE DISC PAD R150 FRONT,PANTRA,,,,7,,
RS8 FORCE DISC PAD RAIDER OLD FRONT,PANTRA,,,,10,,
RS8 FORCE DISC PAD CLICK 150,PANTRA,,,,4,,
BENDIX DISC PAD HONDA BEAT/200MGR,PANTRA,,,,6,,
BENDIX DISC PAD MIO SOULD I 125,PANTRA,,,,4,,
HONDA GENUINE DISC PAD CLICK 125,PANTRA,,,,12,,
HONDA GENUINE DISC PAD PCX/ADV,PANTRA,,,,13,,
UNIQUE PERFORMANCE DISC PAD BRASS Rfi FRONT,PANTRA,,,,6,,
SLIDER PIECE GY6,PANTRA,,,,9,,
SLIDER PIECE YAMAHA GENUINE MIO,PANTRA,,,,8,,
SGP VALVE GUIDE SMASH 110,PANTRA,,,,2,,
JAPAN VALVE GUIDE XRM 110,PANTRA,,,,1,,
YAMAHA GENUINE BENDIX KIT MIO,PANTRA,,,,3,,
JAPAN BENDIX KIT XRM 110,PANTRA,,,,5,,
DYNO PRO RACING MANUAL CAM CHAIN TENSIONEL AEROX/NMAX,PANTRA,,,,5,,
DYNO PRO RACING MANUAL CAM CHAIN TENSIONEL RAIDER J/SHOGUN,PANTRA,,,,1,,
DYNO PRO RACING MANUAL CAM CHAIN TENSIONEL WAVE 125/GY6,PANTRA,,,,3,,
RS8 PERFORMANCE CVT LOCKING NUT NMAX/AEROX/M3,PANTRA,,,,12,,
HONDA GENUINE ROLLER COMP CAM CHAIN GUIDE WAVE,PANTRA,,,,8,,
HERO ABS SENSOR DISC PCX,PANTRA,,,,1,,
HERO ABS SENSOR DISC AEROX,PANTRA,,,,1,,
TTGR SIDE STAND SWITCH PCX 160,PANTRA,,,,2,,
TTGR SIDE STAND SWITCH NMAX,PANTRA,,,,2,,
TTGR SIDE STAND SWITCH CLICK 125/150,PANTRA,,,,2,,
TTGR SIDE STAND SWITCH MIO I 125/M3,PANTRA,,,,2,,
TTGR SIDE STAND SWITCH ADV/PCX,PANTRA,,,,2,,
TGO TAKASAGO STOCK PIPE TMX 155,PANTRA,,,,5,,
TGO TAKASAGO STOCK PIPE WAVE 125,PANTRA,,,,3,,
TGO TAKASAGO STOCK PIPE WAVE 100,PANTRA,,,,1,,
STOCK PIPE XRM 110,PANTRA,,,,1,,
STOCK PIPE XRM 125,PANTRA,,,,2,,
STOCK PIPE SMASH 110,PANTRA,,,,3,,
BARAKO CHICKEN PIPE,PANTRA,,,,2,,
